start_time,c,h,l,o,t
1705762800000,0.01,0.01,0.01,0.01,1705762800
1705766400000,0.01,0.01,0.01,0.01,1705766400
1705770000000,0.01,0.01,0.01,0.01,1705770000
1705773600000,0.01,0.01,0.01,0.01,1705773600
1705777200000,0.01,0.01,0.01,0.01,1705777200
1705780800000,0.01,0.01,0.01,0.01,1705780800
1705784400000,0.01,0.01,0.01,0.01,1705784400
1705788000000,0.01,0.01,0.01,0.01,1705788000
1705791600000,0.01,0.01,0.01,0.01,1705791600
1705795200000,0.01,0.01,0.01,0.01,1705795200
1705798800000,0.01,0.01,0.01,0.01,1705798800
1705802400000,0.01,0.01,0.01,0.01,1705802400
1705806000000,0.01,0.01,0.01,0.01,1705806000
1705809600000,0.01,0.01,0.01,0.01,1705809600
1705813200000,0.01,0.01,0.01,0.01,1705813200
1705816800000,0.01,0.01,0.01,0.01,1705816800
1705820400000,0.01,0.01,0.01,0.01,1705820400
1705824000000,0.01,0.01,0.01,0.01,1705824000
1705827600000,0.01,0.01,0.01,0.01,1705827600
1705831200000,0.01,0.01,0.01,0.01,1705831200
1705834800000,0.01,0.01,0.01,0.01,1705834800
1705838400000,0.01,0.01,0.01,0.01,1705838400
1705842000000,0.01,0.01,0.01,0.01,1705842000
1705845600000,0.01,0.01,0.01,0.01,1705845600
1705849200000,0.01,0.01,0.01,0.01,1705849200
1705852800000,0.01,0.01,0.01,0.01,1705852800
1705856400000,0.01,0.01,0.01,0.01,1705856400
1705860000000,0.01,0.01,0.01,0.01,1705860000
1705863600000,0.01,0.01,0.01,0.01,1705863600
1705867200000,0.01,0.01,0.01,0.01,1705867200
1705870800000,0.01,0.01,0.01,0.01,1705870800
1705874400000,0.01,0.01,0.01,0.01,1705874400
1705878000000,0.01,0.01,0.01,0.01,1705878000
